node,param,name,role,unit,usl,lsl,is_material,data_type
P01_IN,batch_id,原料批号,Input,str,,,TRUE,Scalar
P01_IN,origin,产地,Input,str,,,FALSE,Scalar
P01_IN,date_harvest,采收日期,Input,date,,,FALSE,Scalar
P01_IN,appearance,性状鉴别,Input,grade,A,C,FALSE,Scalar
P03_WEIGH1,w_dangshan,党参重量,Input,kg,545,535,TRUE,Scalar
P03_WEIGH1,w_huangjing,黄精重量,Input,kg,725,715,TRUE,Scalar
P03_WEIGH1,w_sanqi,三七重量,Input,kg,102,98,TRUE,Scalar
P03_WEIGH1,w_hupo,琥珀重量,Input,kg,73,71,TRUE,Scalar
P03_WEIGH1,w_gansong,甘松重量,Input,kg,365,355,TRUE,Scalar
P04_CRUSH,particle_size,粉末粒度,Output,mesh,80,60,FALSE,Scalar
P04_CRUSH,status_self,自检状态,Control,bool,1,1,FALSE,Scalar
P05_WEIGH2,w_sanqi_p,三七粗粉重量,Output,kg,100,96,TRUE,Scalar
P05_WEIGH2,w_hupo_p,琥珀细粉重量,Output,kg,71,69,TRUE,Scalar
P05_WEIGH2,heavy_metal,重金属残留量,Output,ppm,10,,FALSE,Scalar
P05_WEIGH2,pesticide,有机农药残留,Output,ppm,0.2,,FALSE,Scalar
P05_WEIGH2,ash_acid,酸不溶性灰分,Output,%,5.0,,FALSE,Scalar
P05_WEIGH2,extract_vol,浸出物含量,Output,%,30.0,,FALSE,Scalar
P05_WEIGH2,so2,二氧化硫残留,Output,ppm,150,,FALSE,Scalar
P05_WEIGH2,microbe,微生物限度,Output,cfu/g,1000,,FALSE,Scalar
P05_WEIGH2,c_dangshan,党参炔苷含量,Output,mg/g,0.5,0.1,FALSE,Scalar
P05_WEIGH2,c_yam,原薯蓣皂苷含量,Output,mg/g,1.2,0.8,FALSE,Scalar
P05_WEIGH2,c_sanqi_r1,三七皂苷R1含量,Output,mg/g,0.8,0.5,FALSE,Scalar
P05_WEIGH2,c_rb1,人参皂苷Rb1含量,Output,mg/g,1.5,1.0,FALSE,Scalar
P05_WEIGH2,c_rg1,人参皂苷Rg1含量,Output,mg/g,2.0,1.5,FALSE,Scalar
P05_WEIGH2,c_rd,人参皂苷Rd含量,Output,mg/g,0.5,0.2,FALSE,Scalar
P05_WEIGH2,c_sugar,总糖含量,Output,%,20.0,10.0,FALSE,Scalar
P_ENV,env_temp,洁净区温度,Control,℃,26,18,FALSE,Scalar
P_ENV,env_humid,洁净区湿度,Control,RH%,65,45,FALSE,Scalar
P_ENV,pm25,PM2.5浓度,Control,ug/m3,35,,FALSE,Scalar
P_ENV,pressure_diff,洁净区气压差,Control,Pa,15,10,FALSE,Scalar
P_ENV,particles,悬浮粒子数,Control,cnt,1000,,FALSE,Scalar
