node,param,name,role,unit,usl,lsl,is_material,data_type
E02,conc_eth,配制乙醇浓度,Control,%,81,79,TRUE,Scalar
E04,temp,醇提温度,Control,℃,85,80,FALSE,Scalar
E04,time,醇提时间,Control,min,130,110,FALSE,Scalar
E04,rpm,搅拌速度,Control,rpm,60,40,FALSE,Scalar
E10,vol_oil,挥发油收集量,Output,ml,15,10,TRUE,Scalar
E10,fingerprint,指纹图谱相似度,Output,%,0.99,0.90,FALSE,Spectrum
E12,temp_w,水提温度,Control,℃,100,95,FALSE,Scalar
E17,vac,一效真空度,Control,MPa,-0.06,-0.08,FALSE,Scalar
E17,density,浓缩液密度,Output,g/ml,1.25,1.15,FALSE,Scalar
E19,temp_cool,醇沉静置温度,Control,℃,10,2,FALSE,Scalar
E19,time_stand,静置时间,Control,hr,26,22,FALSE,Scalar
E21,yield,最终浸膏得率,Output,%,95,,TRUE,Scalar
